date,Constituent Ticker,Weight,Shares Held,Market Value,price,ret,label,portfolio_ret,portfolio_cum_ret
2017-12-18,AIV,0.0392330384,6039.0,267044.58,44.22,-0.0009,Green,0.03498333333333333,0.14490229387463516
2017-12-18,RLJ,0.0224900887,6720.0,153081.6,22.78,0.0635,Green,0.03498333333333333,0.14490229387463516
2017-12-18,PEB,0.0151523376,2652.0,103136.28,38.89,0.034,Green,0.03498333333333333,0.14490229387463516
2017-12-18,XHR,0.0136084006,4104.0,92627.28,22.57,0.0517,Green,0.03498333333333333,0.14490229387463516
2017-12-18,DRH,0.0132407911,7703.0,90125.1,11.7,0.0419,Green,0.03498333333333333,0.14490229387463516
2017-12-18,IRT,0.0049249489,3242.0,33522.28,10.34,0.0197,Green,0.03498333333333333,0.14490229387463516
2018-01-08,AIV,0.0393423298,5964.0,255795.96,42.89,-0.0301,Green,-0.029616666666666663,0.11099410427104806
2018-01-08,RLJ,0.0228045434,6637.0,148270.58,22.34,-0.0193,Green,-0.029616666666666663,0.11099410427104806
2018-01-08,PEB,0.0152504445,2619.0,99155.34,37.86,-0.0265,Green,-0.029616666666666663,0.11099410427104806
2018-01-08,XHR,0.0134181427,4054.0,87242.08,21.52,-0.0465,Green,-0.029616666666666663,0.11099410427104806
2018-01-08,DRH,0.0133044634,7608.0,86502.96,11.37,-0.0282,Green,-0.029616666666666663,0.11099410427104806
2018-01-08,IRT,0.0049079209,3172.0,31910.32,10.06,-0.0271,Green,-0.029616666666666663,0.11099410427104806
2018-01-22,AIV,0.0387431837,6004.0,248505.56,41.39,-0.035,Green,0.0042,0.1156602795089865
2018-01-22,RLJ,0.0238109593,6681.0,152727.66,22.86,0.0233,Green,0.0042,0.1156602795089865
2018-01-22,PEB,0.0158591308,2636.0,101723.24,38.59,0.0193,Green,0.0042,0.1156602795089865
2018-01-22,XHR,0.0141829245,4054.0,90971.76,22.44,0.0428,Green,0.0042,0.1156602795089865
2018-01-22,DRH,0.0139250831,7608.0,89317.92,11.74,0.0325,Green,0.0042,0.1156602795089865
2018-01-22,IRT,0.0046881415,3172.0,30070.56,9.48,-0.0577,Green,0.0042,0.1156602795089865
2018-01-29,AIV,0.0389552933,7205.0,298647.25,41.45,0.0014,Green,0.0002333333333333331,0.11592060024087192
2018-01-29,RLJ,0.0244491829,8017.0,187437.46,23.38,0.0227,Green,0.0002333333333333331,0.11592060024087192
2018-01-29,PEB,0.0161689722,3163.0,123957.97,39.19,0.0155,Green,0.0002333333333333331,0.11592060024087192
2018-01-29,XHR,0.0141132029,4865.0,108197.6,22.24,-0.0089,Green,0.0002333333333333331,0.11592060024087192
2018-01-29,DRH,0.0140289131,9130.0,107551.4,11.78,0.0034,Green,0.0002333333333333331,0.11592060024087192
2018-01-29,IRT,0.0045524594,3806.0,34901.02,9.17,-0.0327,Green,0.0002333333333333331,0.11592060024087192
2018-02-05,AIV,0.0394669956,7205.0,285822.35,39.67,-0.0429,Green,-0.07126666666666667,0.036392658797039124
2018-02-05,RLJ,0.0234463758,8017.0,169800.06,21.18,-0.0941,Green,-0.07126666666666667,0.036392658797039124
2018-02-05,PEB,0.0156925778,3163.0,113646.59,35.93,-0.0832,Green,-0.07126666666666667,0.036392658797039124
2018-02-05,DRH,0.0141239509,9215.0,102286.5,11.1,-0.0577,Green,-0.07126666666666667,0.036392658797039124
2018-02-05,XHR,0.0139365098,4909.0,100929.04,20.56,-0.0755,Green,-0.07126666666666667,0.036392658797039124
2018-02-05,IRT,0.0044618437,3806.0,32312.94,8.49,-0.0742,Green,-0.07126666666666667,0.036392658797039124
2018-02-12,AIV,0.0390323388,7205.0,282940.35,39.27,-0.0101,Green,0.005616666666666668,0.04221373089728253
2018-02-12,RLJ,0.0239552123,8017.0,173648.22,21.66,0.0227,Green,0.005616666666666668,0.04221373089728253
