ETFG Date,Composite Ticker,Constituent Ticker,Weight,Shares Held,Market Value
2021-11-15,VNQ,AMH,0.00649,13497118.0,547982991.0
2021-11-15,VNQ,VER.UN,0.00644,10817648.0,544127674.0
2021-11-15,VNQ,CUBE,0.00611,9380723.0,516033572.0
2021-11-15,VNQ,REG,0.00593,7116478.0,501071216.0
2021-11-15,VNQ,GLPI,0.00591,10294521.0,499181323.0
2021-11-15,VNQ,LSI,0.00567,3577662.0,478726952.0
2021-11-15,VNQ,CONE,0.00554,5704149.0,467854301.0
2021-11-15,VNQ,LAMR,0.00541,4035438.0,456811582.0
2021-11-15,VNQ,REXR,0.00497,6240130.0,419336736.0
2021-11-15,VNQ,FRT,0.00464,3257588.0,392050716.0
2021-11-15,VNQ,AIRC-W,0.00464,7300337.0,391371067.0
2021-11-15,VNQ,STOR,0.00461,11332354.0,389039713.0
2021-11-15,VNQ,NNN,0.00439,8173367.0,370743927.0
2021-11-15,VNQ,EGP,0.00436,1863004.0,368464931.0
2021-11-15,VNQ,FR,0.00415,6010824.0,350010282.0
2021-11-15,VNQ,COLD,0.0041,11755763.0,346442336.0
2021-11-15,VNQ,ACC,0.00408,6417741.0,344761047.0
2021-11-15,VNQ,HTA,0.00403,10186545.0,340128738.0
2021-11-15,VNQ,KRC,0.00389,4878731.0,328728895.0
2021-11-15,VNQ,BRX,0.00384,13823623.0,324025723.0
2021-11-15,VNQ,STAG,0.00383,7433645.0,323586567.0
2021-11-15,VNQ,VNO,0.00383,7575984.0,322964198.0
2021-11-15,VNQ,OHI,0.00381,10956158.0,321672799.0
2021-11-15,VNQ,ZG,0.00356,2844961.0,300769277.0
2021-11-15,VNQ,IIPR,0.00347,1113770.0,293021749.0
2021-11-15,VNQ,COR,0.00338,2000977.0,285059183.0
2021-11-15,VNQ,MGP,0.00333,7140136.0,281178556.0
2021-11-15,VNQ,CUZ,0.00325,6919939.0,274098784.0
2021-11-15,VNQ,DEI,0.00316,8168352.0,266941743.0
2021-11-15,VNQ,SRC,0.0031,5351481.0,261847965.0
2021-11-15,VNQ,RYN,0.00286,6471894.0,241595803.0
2021-11-15,VNQ,NSA,0.00286,3860171.0,241106281.0
2021-11-15,VNQ,TRNO,0.0028,3238153.0,236806129.0
2021-11-15,VNQ,SLG.UN,0.00268,3228529.0,226223027.0
2021-11-15,VNQ,HR,0.00258,6594372.0,218009938.0
2021-11-15,VNQ,HIW,0.00257,4843913.0,217201059.0
2021-11-15,VNQ,ADC,0.00251,2986026.0,212187008.0
2021-11-15,VNQ,RHP,0.00247,2435143.0,208302132.0
2021-11-15,VNQ,RDFN,0.00244,4008876.0,205815694.0
2021-11-15,VNQ,KRG,0.00244,10160494.0,206258028.0
2021-11-15,VNQ,PK,0.00242,11008803.0,203993120.0
2021-11-15,VNQ,DOC,0.00226,10030292.0,190675851.0
2021-11-15,VNQ,LXP,0.00223,12923842.0,188300378.0
2021-11-15,VNQ,HPP,0.00214,7027008.0,180945456.0
2021-11-15,VNQ,BNL.UN,0.00214,6787879.0,180489703.0
2021-11-15,VNQ,EPR,0.00207,3480527.0,174757261.0
